,MBSD_104.counts,MBSD_106.counts,MBSD_110.counts,MBSD_114.counts,MBSD_119.counts,MBSD_123.counts,MBSD_156.counts,MBSD_158.counts,MBSD_162.counts,MBSD_166.counts,MBSD_168.counts,MBSD_173.counts,X177_coldM_geno1,X182_coldM_geno1,X187_coldM_geno1,X192_coldM_geno1,X194_coldM_geno1,X198_coldM_geno1,X177_coldM_geno2,X182_coldM_geno2,X187_coldM_geno2,X192_coldM_geno2,X194_coldM_geno2,X198_coldM_geno2
ENSMUSG00000039128,1360.0,515.0,995.0,777.0,718.0,648.0,745.0,761.0,932.0,917.0,760.0,800.0,175.0,189.0,150.0,277.0,272.0,198.0,161.0,189.0,178.0,247.0,241.0,144.0
ENSMUSG00000039145,87.0,39.0,102.0,50.0,33.0,67.0,14.0,31.0,31.0,15.0,25.0,41.0,1.0,3.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0
ENSMUSG00000039148,1114.0,507.0,889.0,664.0,601.0,567.0,565.0,665.0,804.0,942.0,684.0,788.0,25.0,27.0,10.0,29.0,36.0,5.0,18.0,32.0,12.0,20.0,39.0,17.0
ENSMUSG00000039156,731.0,367.0,653.0,517.0,408.0,463.0,368.0,411.0,516.0,433.0,395.0,400.0,22.0,26.0,23.0,29.0,22.0,21.0,21.0,22.0,18.0,26.0,35.0,15.0
ENSMUSG00000039157,703.0,648.0,846.0,737.0,522.0,466.0,672.0,930.0,1152.0,1088.0,824.0,910.0,140.0,120.0,155.0,197.0,177.0,113.0,207.0,148.0,164.0,195.0,167.0,106.0
ENSMUSG00000039158,255.0,92.0,194.0,201.0,102.0,130.0,100.0,161.0,133.0,140.0,131.0,151.0,9.0,5.0,7.0,12.0,13.0,6.0,5.0,10.0,5.0,10.0,16.0,6.0
ENSMUSG00000039164,246.0,141.0,226.0,240.0,172.0,178.0,162.0,175.0,170.0,202.0,163.0,160.0,25.0,43.0,37.0,39.0,42.0,36.0,28.0,30.0,14.0,42.0,28.0,22.0
ENSMUSG00000039166,2081.0,749.0,1970.0,1491.0,1148.0,1016.0,1181.0,1477.0,1789.0,1303.0,1145.0,1171.0,24.0,33.0,34.0,48.0,45.0,21.0,19.0,33.0,27.0,36.0,50.0,23.0
ENSMUSG00000039167,3131.0,1125.0,2089.0,2345.0,1527.0,1775.0,1914.0,2016.0,2426.0,2821.0,2054.0,2211.0,66.0,68.0,46.0,84.0,80.0,64.0,76.0,82.0,79.0,81.0,106.0,92.0
ENSMUSG00000039168,1945.0,808.0,1753.0,1389.0,949.0,1122.0,732.0,973.0,1158.0,855.0,971.0,961.0,214.0,196.0,194.0,263.0,290.0,203.0,167.0,183.0,154.0,232.0,250.0,151.0
ENSMUSG00000039176,2964.0,1312.0,2452.0,1027.0,1697.0,1464.0,955.0,1114.0,1282.0,2036.0,1502.0,1566.0,127.0,185.0,106.0,195.0,170.0,121.0,130.0,154.0,110.0,182.0,165.0,95.0
ENSMUSG00000039182,632.0,168.0,497.0,316.0,258.0,287.0,267.0,359.0,374.0,389.0,358.0,339.0,13.0,10.0,6.0,8.0,15.0,8.0,13.0,7.0,5.0,10.0,11.0,13.0
ENSMUSG00000039197,2060.0,931.0,1884.0,854.0,1049.0,1180.0,1250.0,1369.0,1609.0,1875.0,1536.0,1506.0,70.0,80.0,63.0,79.0,64.0,56.0,73.0,92.0,63.0,95.0,98.0,72.0
ENSMUSG00000039199,735.0,308.0,721.0,419.0,416.0,360.0,301.0,400.0,449.0,501.0,500.0,481.0,49.0,30.0,31.0,28.0,51.0,30.0,36.0,34.0,20.0,42.0,49.0,20.0
ENSMUSG00000039202,941.0,406.0,848.0,680.0,540.0,591.0,591.0,773.0,727.0,816.0,662.0,704.0,34.0,36.0,48.0,60.0,42.0,30.0,55.0,52.0,24.0,88.0,74.0,35.0
ENSMUSG00000039205,1165.0,482.0,765.0,960.0,564.0,699.0,671.0,809.0,926.0,944.0,768.0,925.0,45.0,56.0,18.0,62.0,48.0,18.0,43.0,56.0,48.0,73.0,60.0,30.0
ENSMUSG00000039206,223.0,105.0,203.0,64.0,122.0,92.0,107.0,145.0,159.0,153.0,134.0,146.0,30.0,25.0,11.0,40.0,37.0,18.0,12.0,26.0,10.0,25.0,31.0,16.0
ENSMUSG00000039210,980.0,441.0,773.0,498.0,553.0,537.0,439.0,495.0,525.0,599.0,507.0,484.0,32.0,39.0,43.0,57.0,71.0,39.0,34.0,41.0,41.0,53.0,54.0,33.0
